ccode,cname,year,ccodealp,cname_year,ccodealp_year,ccodecow,p_durable,p_polity2,fh_polity2,arch_exit_any,arch_exit_reg,arch_exit_irreg,regime_change,prevrc,democratization,aa_transition,duration,banking_no_lag,banking,banking_start,currency_no_lag,currency,currency_start,default_no_lag,default,default_start,default_ext_no_lag,default_ext,default_dom_no_lag,default_dom,anyfincrisis_no_lag,anyfincrisis,anyfincrisis_start,bc_twin_no_lag,bc_twin,cb_twin_no_lag,cb_twin,twin_bc_no_lag,twin_bc,bd_twin_no_lag,bd_twin,db_twin_no_lag,db_twin,twin_bd_no_lag,twin_bd,twin_bd_b_no_lag,twin_bd_d_no_lag,twin_bd_b,twin_bd_d,cd_twin_no_lag,cd_twin,dc_twin_no_lag,dc_twin,twin_cd_no_lag,twin_cd,twin_any_no_lag,twin_any,triple_no_lag,triple,wr_regtype,military,personal,party,wr_monarchy,gwf_regimetype,gwf_party,gwf_personal,gwf_military,gwf_monarch,gdppcgr_no_lag,gdppcgr,gdppcgr2,pwt_gdppcgr,chga_demo,chga_hinst,mad_gdppc,mad_gdppcgr,vdem_corr,vdem_index_no_lag,vdem_index,wdi_gdpgr,wdi_gdppcgr,resources_no_lag,resources,latam,mideast,africa,asia,southeastasia,europe,exussr
12,Algeria,1963,DZA,Algeria 1963,DZA63,615,1,-8,,0,0,0,0,1,0,0,1,0,,0,0,,0,0,,0,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,0,,,0,,0,,0,,0,,0,,7,1,0,1,0,party-military,1,0,0,0,31.00799949,,21.52227065,21.52227065,0,3,1767.7573,,0.504208148,0.20087991,,34.31372877,31.00799949,,,0,1,0,0,0,0,0
12,Algeria,1964,DZA,Algeria 1964,DZA64,615,2,-8,,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,2.15656,31.00799949,6.065803143,6.065803143,0,3,1805.8801,2.15656,0.504208148,0.194384928,0.20087991,5.839413012,3.163785742,,0,0,1,0,0,0,0,0
12,Algeria,1965,DZA,Algeria 1965,DZA65,615,3,-9,,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,3.53265,2.15656,5.773007444,5.773007444,0,4,1869.6755,3.53265,0.419412726,0.150158412,0.194384928,6.206898209,3.42298358,,0,0,1,0,0,0,0,0
12,Algeria,1966,DZA,Algeria 1966,DZA66,615,4,-9,,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,-7.72952,3.53265,-8.561072879,-8.561072879,0,4,1725.1586,-7.72952,0.419412726,0.087658412,0.150158412,-4.80497094,-7.396128865,,0,0,1,0,0,0,0,0
12,Algeria,1967,DZA,Algeria 1967,DZA67,615,5,-9,,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,5.73925,-7.72952,8.724722985,8.724722985,0,4,1824.1698,5.73925,0.419412726,0.087658412,0.087658412,9.452962559,6.388193678,,0,0,1,0,0,0,0,0
12,Algeria,1968,DZA,Algeria 1968,DZA68,615,6,-9,,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,8.40169,5.73925,7.398381042,7.398381042,0,4,1977.4309,8.40169,0.419412726,0.087658412,0.087658412,10.79623858,7.650870675,,0,0,1,0,0,0,0,0
12,Algeria,1969,DZA,Algeria 1969,DZA69,615,7,-9,,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,6.47624,8.40169,5.013176294,5.013176294,0,4,2105.4941,6.47624,0.419412726,0.087658412,0.087658412,8.433280276,5.366409003,,0,0,1,0,0,0,0,0
12,Algeria,1970,DZA,Algeria 1970,DZA70,615,8,-9,,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,6.82622,6.47624,6.765273064,6.765273064,0,4,2249.2197,6.82622,0.419412726,0.087658412,0.087658412,8.862657113,5.82800707,8.67939229717359,0,0,1,0,0,0,0,0
12,Algeria,1971,DZA,Algeria 1971,DZA71,615,9,-9,,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,-11.09567,6.82622,-14.7163519,-14.7163519,0,4,1999.6536,-11.09567,0.419412726,0.088134018,0.087658412,-11.33171916,-13.76224333,8.4544258822357,8.67939229717359,0,1,0,0,0,0,0
12,Algeria,1972,DZA,Algeria 1972,DZA72,615,10,-9,1.0833333,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,17.512,-11.09567,22.59777663,22.59777663,0,4,2349.833,17.512,0.419412726,0.088134018,0.088134018,27.42396948,23.96858623,10.3066839101977,8.4544258822357,0,1,0,0,0,0,0
12,Algeria,1973,DZA,Algeria 1973,DZA73,615,11,-9,1.0833333,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,0.28546,17.512,-1.058277853,-1.058277853,0,4,2356.5408,0.28546,0.419412726,0.088134018,0.088134018,3.813176298,1.006191061,12.0035392283542,10.3066839101977,0,1,0,0,0,0,0
12,Algeria,1974,DZA,Algeria 1974,DZA74,615,12,-9,1.0833333,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,3.01235,0.28546,-4.432426954,-4.432426954,0,4,2427.5281,3.01235,0.419412726,0.088134018,0.088134018,7.494917704,4.566004263,29.3053957515557,12.0035392283542,0,1,0,0,0,0,0
12,Algeria,1975,DZA,Algeria 1975,DZA75,615,13,-9,0.66666663,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,3.88977,3.01235,1.995446877,1.995446877,0,4,2521.9534,3.88977,0.419412726,0.088134018,0.088134018,5.045341612,2.140973456,24.0309091641343,29.3053957515557,0,1,0,0,0,0,0
12,Algeria,1976,DZA,Algeria 1976,DZA76,615,14,-9,1.0833333,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,3.42141,3.88977,3.260407315,3.260407315,0,4,2608.2397,3.42141,0.419412726,0.136282855,0.088134018,8.386756483,5.353116501,25.1347809115257,24.0309091641343,0,1,0,0,0,0,0
12,Algeria,1977,DZA,Algeria 1977,DZA77,615,15,-9,1.0833333,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,5.76815,3.42141,4.548066599,4.548066599,0,4,2758.687,5.76815,0.504208148,0.206767364,0.136282855,5.258585985,2.283839112,24.7487148462446,25.1347809115257,0,1,0,0,0,0,0
12,Algeria,1978,DZA,Algeria 1978,DZA78,615,16,-9,1.0833333,1,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,9.42383,5.76815,7.786316549,7.786316549,0,4,3018.6611,9.42383,0.543422845,0.206122698,0.206767364,9.2148357,6.083649538,21.4758876767766,24.7487148462446,0,1,0,0,0,0,0
12,Algeria,1979,DZA,Algeria 1979,DZA79,615,17,-9,1.0833333,1,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,5.74833,9.42383,8.766273608,8.766273608,0,4,3192.1836,5.74833,0.585155218,0.206106185,0.206122698,7.477826553,4.335946306,39.2996567982733,21.4758876767766,0,1,0,0,0,0,0
12,Algeria,1980,DZA,Algeria 1980,DZA80,615,18,-9,1.0833333,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,party-military,1,0,0,0,-1.26429,5.74833,-5.824796974,-5.824796974,0,4,3151.8252,-1.26429,0.639204368,0.208059773,0.206106185,0.790606971,-2.216590422,32.0013548685793,39.2996567982733,0,1,0,0,0,0,0
